,サロン名,メニュー名,メニュー詳細,その他（注意事項等）,価格,施術画像等,salon_id
2022/09/10 12:11:34,SHINBI,美容鍼,"Japanese style
Cosmetic acupuncture

1. Safe and reliable　
2. Use fine acupuncture needle（0.12mm, 0.14mm) 
3. Use high quality acupuncture needle made in Japan 　
4. Courteous and attentive
5. Highly technical skill
6. An acupuncturist with a Japanese national qualification
    give treatment
7. Concept of oriental medicine, use acupuncture points
日本の国家資格を持つ高い技術を持つ鍼灸師が安心、安全、
丁寧に施術致します。
日本製高品質な微細な鍼を使用しています(0.12mm,0.14mm)。
東洋医学に基づいた経絡経穴を使用した施術を行います。

Shining on the inside and out
1.Face-lift　リフトアップ
2.Pore care　しわ・たるみケア
3.Anti-aging care　エイジングケア
4.Acupuncture therapy is gently 
　brings out more radiant,younger-looking skin.
　鍼セラピーは優しく、より輝く若い肌を引き出します

1. Guasha & massage of face,head & neck 
顔・頭・首のカッサ＆マッサージ
2. Acupuncture therapy for face＆head
顔・頭の鍼 
※Special for now only
今だけ特別サービス
4. Nanobubble hydrogen drinking water service
ナノバブル水素水ドリンクサービス","必ず下記のご説明をお読みになり、十分にご理解いただいた上で、施術を希望される場合には同意したことと致します。

1.施術について
「鍼」とは鍼をもって身体表面の一定部位に、接触または穿刺刺入するものです。
当店で行う「美容鍼」の鍼の太さは0.14ｍｍ、0.12ｍｍと、髪の毛ほどの太さのものを使用しています。
刺入深度は約5mmほどです。痛みの少ない安全な施術になります。
知識と技術を持った、日本のはり師国家資格保持者が安全に施術を担当いたします。
2.効果について
鍼の効果には、「直後効果」と「事後効果」があり、施術後すぐに効果があらわれる場合と、一定の時間を経過してから効果があらわれる場合があります。また、効果のあらわれ方及び効果の持続性にも個人差があります。
3.出血と皮下出血について
鍼施術では、鍼が皮膚、毛細血管、筋肉などの組織に刺入されるため、常に皮下出血やごくわずかの出血をともなう可能性があります。したがいまして、鍼治療によって皮下出血や出血が生じた場合も、それは生体の正常な反応に類するものであり、施術の過誤によるものではありません。また、皮下出血に起因して、まれに青あざが生じる場合もありますが、個人差により１週間から数週間で自然に退消します。青あざが長期間にわたって残ることはありませんのでご安心ください。
美容鍼の施術を受けられる場合には、上記のことをご理解いただき、疼痛、皮下出血、青あざ、多少の出血が生じる可能性があることをあらかじめご了承のうえ、施術を受けられる旨ご承諾くださいますようお願いいたします。
4.注意事項　下記の症状、状態に該当する方は施術をお受けすることができませんので、ご了承ください
◎ 飲酒後　◎ 伝染病　◎ 重篤な疾患　◎ その他重篤な状態にある場合
◎ 出血性疾患　◎ 高熱時、安静が必要な場合　
4.施術後について
施術後、眠気やだるさが出る場合がございます。当日はゆったりとお過ごしください。
施術前後の飲酒や激しい運動、長風呂、サウナは避けてください。
帰宅時、帰宅後の転倒、事故等が発生しても、当店ではその責任を負いかねます。気を付けてお帰りください。
※以上のことから、施術中または施術後に体調の変化が見られた場合であっても、当施設と施術者は責任を負えませんのでご了承ください。",RM420,"https://drive.google.com/open?id=17AJNprQZixxrW_9tX_8we0v5rW_ol7cH, https://drive.google.com/open?id=1pt4kSK_am8f37V9994jpXMLQfrwnJVLI, https://drive.google.com/open?id=1ZoL7UyRqIdo0xwuK6pyLAPNa_aHCo6yF",1
,SHINBI,,"Hair growth 30分







",,"お試しRM200
16回RM4160(1回260)
24回RM6240",,1
,SHINBI,,スペシャルコース、全身美容鍼 80分,,RM590,,1
,SHINBI,,Ear seeds diet 5分,,"チケット
8回RM800(1回100)
16回RM1440(1回80)",,1
2022/09/14 20:43:38,Luxury Anti-Aging Salon Fluffy,whip foot bath,"ホイップトリートメントをお試し頂けるコースとなります。足裏からふくらはぎにかけて、骨膜から整えていきます。
しっかりと重心が入るようになるので、歩きやすく疲れたお足元もスッキリします。",お怪我されている場合は、炎症の悪化になる可能性がありますのでご遠慮ください。,170RM,,13
2022/09/14 21:08:44,Luxury Anti-Aging Salon Fluffy,Body 60min,"ホイップトリートメントで包まれた後に、キャリアオイルで無重力セラピーをおこなっていきます。解剖学をもとに筋肉の繋がりや、骨膜を緩めるために生み出された唯一無二のアプローチ法になります。
体感したことのないような幸福感に、姿勢改善や機能性向上による、本来の美しさを取り戻します。","ホイップトリートメントは、心身の解放とメンテナンスを目的として、体の深部までアプローチします。
その為、トリートメントの後に特有の倦怠感（だるさ・重さ）起こる場合があります。
トリートメントを行うことで、急に筋肉がほぐれてしまい、一種の筋肉痛になる現象が起こる為です。
お客様の体調等により症状は異なりますが、時間と経過と共に回復していくので、問題はありません。
この症状は体を改善していく為の一過性の現象です。
○過去にアレルギーをお持ちでいなかった方でも、稀に精油やハーブのアレルギー反応が起こることがあります。
そのような場合も当店では責任を負い兼ねますので、予めご了承ください。
皮膚アレルギーやトラブルをお持ちの方は事前に必ずお申し付けください。",520RM,https://drive.google.com/open?id=1roFjLfKd3wrHHL0OAj5qQ0N6mUpRSh3h,13
,Luxury Anti-Aging Salon Fluffy,fluffy treatment 120min,,"※ ホイップトリートメントで包まれた後に、キャリアオイルで無重力テラピーをおこなっていきます。無重力テラピーとは、解剖学をもとに筋肉の繋がりや筋関節、骨膜を緩めるために生み出された唯一無二のアプローチ法になります。無重力テラピーの特徴はトリートメントでは珍しい横向きの体勢になって頂き、骨から誘導をかけて行います。
体感したことのないような幸福感に、姿勢改善や機能性向上による、本来の美しさを取り戻す、究極のコースとなります。",RM1200,,13
,Luxury Anti-Aging Salon Fluffy,fluffy treatment 150min,,,RM1500,,13
,Luxury Anti-Aging Salon Fluffy,fluffy treatment 180min,,,RM1800,,13
,,whip treatment 30min （上半身半身or下半身半身）,,"※セラムホイップを使用して、幸福感に包まれながら、解剖学をもとに筋肉の繋がりや筋関節、骨膜を緩めていきます。
今までに体感したことのない幸福感が、自律神経を整え、日頃のストレスや疲労を脳から解放していきます。
セラムホイップは化学成分を一切使用せず、美白効果、保湿効果がとても高いお顔に使用するものを贅沢にボディに使っていきます。
トリートメント後のお肌は驚くほど、キメが整い透明感のあるお肌に導きます。",RM350,,13
